competition,bets_placed,total_stake,total_return,pnl,roi,win_rate,average_odds
德乙,2,20.0,0.0,-20.0,-1.0,0.0,1.905
德甲,6,60.0,31.7,-28.3,-0.4716666666666667,0.3333333333333333,1.7400000000000002
意甲,2,20.0,46.2,26.200000000000003,1.31,1.0,2.31
欧罗巴,14,140.0,166.3,26.30000000000001,0.18785714285714294,0.5714285714285714,2.077142857142857
法乙,3,30.0,38.9,8.899999999999999,0.29666666666666663,0.6666666666666666,2.17
法甲,1,10.0,0.0,-10.0,-1.0,0.0,1.96
英冠,1,10.0,0.0,-10.0,-1.0,0.0,1.68
英超,6,60.0,82.9,22.900000000000006,0.38166666666666677,0.8333333333333334,1.66
荷乙,2,20.0,31.700000000000003,11.700000000000003,0.5850000000000002,1.0,1.585
荷甲,1,10.0,0.0,-10.0,-1.0,0.0,1.83
葡超,1,10.0,23.0,13.0,1.3,1.0,2.3
西甲,3,30.0,12.4,-17.6,-0.5866666666666667,0.3333333333333333,1.8633333333333333
